"round_id","condition","participant_id","selected_elements","trust_article","trust_image"
533,"c2pa",149,"Topic","4","4"
534,"c2pa",149,"Headline;Topic","4","4"
535,"no_color",152,"Headline","7","7"
536,"color",151,"Headline;Topic","6","6"
537,"no_color",152,"Headline;Topic","5","6"
538,"color",151,"Headline;Topic","5","5"
539,"c2pa",153,"Image label;Headline","3","3"
540,"nolabel",154,"Headline","4","5"
541,"nolabel",150,"Headline","5","4"
542,"c2pa",153,"Image label;Headline;Topic","3","3"
543,"c2pa",153,"Image label;Headline","5","5"
544,"nolabel",150,"Topic","3","4"
545,"color",155,"Picture","6","6"
546,"nolabel",147,"Topic","6","6"
547,"no_color",156,"Picture;Headline;Topic","6","7"
548,"nolabel",154,"Headline","6","6"
549,"nolabel",154,"Headline","7","7"
550,"color",155,"Headline","6","7"
551,"color",155,"Headline","6","7"
552,"no_color",156,"Picture;Headline;Topic","6","7"
553,"nolabel",158,"Headline;Topic","4","7"
554,"no_color",156,"Image label;Headline;Topic;Other: interest","4","6"
555,"nolabel",162,"Headline","3","1"
556,"nolabel",147,"Headline","7","7"
557,"c2pa",161,"Headline","4","7"
558,"no_color",160,"Headline;Topic","2","3"
559,"nolabel",147,"Picture","7","7"
560,"nolabel",162,"Headline;Topic","2","6"
561,"color",159,"Picture;Headline;Topic","6","6"
562,"nolabel",162,"Headline","5","7"
563,"color",163,"Topic","3","4"
564,"c2pa",161,"Headline","4","6"
565,"c2pa",161,"Headline","4","7"
566,"nolabel",158,"Headline","4","5"
567,"c2pa",157,"Headline;Topic","6","6"
568,"c2pa",165,"Headline","3","2"
569,"no_color",164,"Picture;Headline;Topic","6","5"
570,"color",159,"Picture;Image label;Headline;Topic","7","6"
571,"no_color",160,"Headline;Topic","5","5"
572,"no_color",160,"Headline","5","5"
573,"nolabel",166,"Picture;Headline","5","5"
574,"color",163,"Headline;Topic","4","3"
575,"nolabel",158,"Headline;Topic","7","7"
576,"color",159,"Picture;Headline;Topic","6","7"
577,"color",163,"Headline","2","3"
578,"nolabel",166,"Headline","4","5"
579,"no_color",164,"Headline","4","6"
580,"nolabel",166,"Headline","4","5"
581,"c2pa",165,"Headline","3","3"
582,"c2pa",157,"Headline;Topic","6","6"
583,"c2pa",165,"Topic","4","5"
584,"color",167,"Headline","4","4"
585,"no_color",164,"Topic","5","6"
586,"c2pa",157,"Headline;Topic","6","6"
587,"color",167,"Picture","4","4"
588,"c2pa",168,"Headline;Topic","6","6"
589,"no_color",171,"Topic","4","5"
590,"color",167,"Headline","5","5"
591,"c2pa",172,"Picture;Headline","6","7"
592,"color",170,"Image label;Headline;Topic","4","5"
593,"c2pa",168,"Headline;Topic","6","6"
594,"c2pa",172,"Picture;Headline","7","6"
595,"nolabel",173,"Picture;Image label;Headline;Topic","6","6"
596,"c2pa",168,"Headline;Topic","6","6"
597,"nolabel",169,"Picture;Image label","4","4"
598,"color",174,"Don't know/None of these","4","4"
599,"no_color",171,"Headline","6","1"
600,"c2pa",172,"Picture;Image label;Headline","6","7"
601,"nolabel",173,"Headline;Topic","6","6"
602,"no_color",171,"Headline","4","6"
603,"nolabel",173,"Headline;Topic","3","2"
605,"nolabel",169,"Picture;Image label;Headline","4","4"
606,"no_color",175,"Image label;Topic","6","5"
607,"color",170,"Headline;Topic","6","5"
608,"nolabel",177,"Headline;Topic","4","5"
610,"c2pa",176,"Headline;Topic","6","6"
611,"nolabel",169,"Topic","4","4"
612,"nolabel",177,"Headline;Topic","3","4"
614,"color",170,"Headline;Topic","5","4"
615,"color",178,"Picture","6","6"
616,"no_color",175,"Headline","4","3"
617,"nolabel",177,"Headline;Topic","4","4"
618,"no_color",175,"Topic","3","7"
619,"color",178,"Headline","6","6"
620,"no_color",179,"Don't know/None of these","1","2"
621,"color",178,"Headline","6","6"
622,"no_color",179,"Don't know/None of these","4","4"
623,"c2pa",180,"Topic","5","5"
624,"nolabel",181,"Picture;Headline","4","5"
625,"no_color",179,"Don't know/None of these","4","4"
626,"c2pa",176,"Headline;Topic","6","6"
627,"color",182,"Headline","6","6"
628,"nolabel",181,"Picture;Headline","5","5"
629,"c2pa",180,"Image label;Headline","7","7"
630,"no_color",183,"Picture;Headline;Topic","6","6"
631,"nolabel",181,"Picture;Headline","4","5"
632,"c2pa",176,"Headline;Topic","6","7"
633,"c2pa",180,"Picture;Headline;Topic","7","7"
634,"color",182,"Picture;Image label;Headline","5","6"
635,"color",182,"Headline","4","4"
636,"c2pa",184,"Headline","6","6"
637,"color",174,"Picture","7","7"
638,"no_color",186,"Headline;Topic","5","4"
639,"color",174,"Picture","6","6"
641,"color",185,"Image label;Headline;Topic","7","6"
642,"nolabel",187,"Topic","5","5"
643,"c2pa",184,"Topic","5","7"
644,"no_color",183,"Headline","7","7"
647,"c2pa",184,"Image label;Headline;Topic","7","4"
648,"color",188,"Headline","4","5"
649,"no_color",183,"Picture;Headline;Topic","4","4"
650,"nolabel",187,"Topic","5","5"
651,"no_color",189,"Picture;Headline;Topic","4","6"
652,"nolabel",187,"Picture","5","5"
653,"no_color",186,"Picture;Headline;Topic","5","7"
654,"color",188,"Headline","3","5"
655,"color",185,"Headline","6","7"
656,"no_color",189,"Image label;Headline;Topic","7","7"
657,"no_color",186,"Picture;Headline;Topic","6","7"
658,"color",188,"Headline","3","6"
660,"no_color",189,"Image label;Headline;Topic","7","7"
662,"c2pa",190,"Picture;Headline","6","4"
663,"color",185,"Picture;Image label","6","5"
664,"c2pa",190,"Headline;Topic","5","4"
665,"c2pa",190,"Picture;Image label;Topic","5","1"
666,"nolabel",191,"Topic","6","6"
667,"nolabel",191,"Picture;Headline;Topic","6","7"
668,"nolabel",191,"Picture;Topic","7","7"
19,"color",192,"Image label;Headline","4","4"
20,"no_color",193,"Headline","4","5"
21,"nolabel",195,"Headline","2","4"
22,"c2pa",194,"Picture;Headline;Topic","3","7"
23,"color",196,"Picture","5","6"
24,"c2pa",198,"Picture;Headline","4","6"
25,"color",200,"Topic","5","4"
26,"no_color",201,"Topic","4","5"
27,"nolabel",199,"Headline;Topic","4","6"
28,"no_color",193,"Headline;Topic","4","3"
29,"no_color",197,"Topic","5","5"
30,"no_color",193,"Image label;Headline;Topic","6","5"
31,"color",196,"Headline","5","5"
32,"color",196,"Headline","5","5"
33,"nolabel",195,"Don't know/None of these","2","3"
34,"c2pa",198,"Headline","4","5"
35,"color",200,"Topic","5","3"
36,"nolabel",195,"Picture","2","2"
37,"no_color",201,"Topic","4","4"
38,"nolabel",199,"Headline;Topic","4","6"
39,"no_color",201,"Headline;Topic","4","4"
40,"c2pa",198,"Headline","4","6"
41,"c2pa",202,"Headline","4","2"
42,"nolabel",199,"Picture;Headline","4","6"
43,"c2pa",194,"Headline;Topic","3","4"
44,"color",200,"Headline","6","4"
45,"c2pa",202,"Topic","4","2"
46,"c2pa",194,"Picture;Headline;Topic","2","2"
47,"c2pa",202,"Headline;Topic","4","4"
48,"no_color",197,"Headline","4","4"
49,"no_color",197,"Topic","4","4"
53,"color",192,"Headline;Topic","3","4"
54,"color",192,"Topic","2","2"
